Array,Santrix Positions,Samples IDS
9407205120,A,12M1
9407205120,B,12C1
9407205120,C,13M1
9407205120,D,13C1
9407205120,E,14M1
9407205120,F,14C1
9407205120,G,12M2
9407205120,H,12C2
9407205120,I,13M2
9407205120,J,13C2
9407205120,K,14M2
9407205120,L,14C2
9407205108,A,6M3
9407205108,B,6C3
9407205108,C,7M3
9407205108,D,7C3
9407205108,E,8M3
9407205108,F,8C3
9407205108,G,9M3
9407205108,H,9C3
9407205108,I,10M3
9407205108,J,10C3
9407205108,K,11M3
9407205108,L,11C3
9388254003,A,12M3
9388254003,B,12C3
9388254003,C,13M3
9388254003,D,13C3
9388254003,E,14M3
9388254003,F,14C3
9249907032,A,6M4
9249907032,B,6C1
9249907032,C,7M1
9249907032,D,7C1
9249907032,E,8M1
9249907032,F,8C1
9249907032,G,9M1
9249907032,H,9C1
9249907032,I,10M1
9249907032,J,10C1
9249907032,K,11M1
9249907032,L,11C1
9249907029,A,0M1
9249907029,B,0C1
9249907029,C,1M1
9249907029,D,1C1
9249907029,E,2M1
9249907029,F,2C1
9249907029,G,3M1
9249907029,H,3C1
9249907029,I,4M1
9249907029,J,4C1
9249907029,K,5M1
9249907029,L,5C4
9249896102,A,0M3
9249896102,B,0C3
9249896102,C,1M3
9249896102,D,1C3
9249896102,E,2M3
9249896102,F,2C3
9249896102,G,3M3
9249896102,H,3C3
9249896102,I,4M3
9249896102,J,4C3
9249896102,K,5M3
9249896102,L,5C3
9249896078,A,0M2
9249896078,B,0C2
9249896078,C,1M2
9249896078,D,1C2
9249896078,E,2M2
9249896078,F,2C2
9249896078,G,3M2
9249896078,H,3C2
9249896078,I,4M2
9249896078,J,4C2
9249896078,K,5M2
9249896078,L,5C2
9249896049,A,6M2
9249896049,B,6C2
9249896049,C,7M2
9249896049,D,7C2
9249896049,E,8M2
9249896049,F,8C2
9249896049,G,9M2
9249896049,H,9C2
9249896049,I,10M2
9249896049,J,10C2
9249896049,K,11M2
9249896049,L,11C2
